17-8-8 14:33:12.7|Info|MigrationLogger|*** 32: set_default_release_group migrating ***
17-8-8 14:33:12.7|Info|set_default_release_group|Starting migration to 32
17-8-8 14:33:12.7|Info|MigrationLogger|*** 33: add_api_key_to_pushover migrating ***
17-8-8 14:33:12.7|Info|add_api_key_to_pushover|Starting migration to 33
17-8-8 14:33:12.8|Info|MigrationLogger|*** 34: remove_series_contraints migrating ***
17-8-8 14:33:12.8|Info|remove_series_contraints|Starting migration to 34
17-8-8 14:33:13.2|Info|MigrationLogger|*** 35: add_series_folder_format_to_naming_config migrating ***
17-8-8 14:33:13.2|Info|add_series_folder_format_to_naming_config|Starting migration to 35
17-8-8 14:33:13.2|Info|MigrationLogger|*** 36: update_with_quality_converters migrating ***
17-8-8 14:33:13.2|Info|update_with_quality_converters|Starting migration to 36
17-8-8 14:33:13.2|Info|MigrationLogger|*** 37: add_configurable_qualities migrating ***
17-8-8 14:33:13.2|Info|add_configurable_qualities|Starting migration to 37
17-8-8 14:33:13.4|Info|MigrationLogger|*** 38: add_on_upgrade_to_notifications migrating ***
17-8-8 14:33:13.4|Info|add_on_upgrade_to_notifications|Starting migration to 38
17-8-8 14:33:13.4|Info|MigrationLogger|*** 39: add_metadata_tables migrating ***
17-8-8 14:33:13.4|Info|add_metadata_tables|Starting migration to 39
17-8-8 14:33:13.4|Info|MigrationLogger|*** 40: add_metadata_to_episodes_and_series migrating ***
17-8-8 14:33:13.4|Info|add_metadata_to_episodes_and_series|Starting migration to 40
17-8-8 14:33:13.4|Info|MigrationLogger|*** 41: fix_xbmc_season_images_metadata migrating ***
17-8-8 14:33:13.4|Info|fix_xbmc_season_images_metadata|Starting migration to 41
17-8-8 14:33:13.4|Info|MigrationLogger|*** 42: add_download_clients_table migrating ***
17-8-8 14:33:13.4|Info|add_download_clients_table|Starting migration to 42
17-8-8 14:33:13.4|Info|MigrationLogger|*** 43: convert_config_to_download_clients migrating ***
17-8-8 14:33:13.5|Info|convert_config_to_download_clients|Starting migration to 43
17-8-8 14:33:13.5|Info|MigrationLogger|*** 44: fix_xbmc_episode_metadata migrating ***
17-8-8 14:33:13.5|Info|fix_xbmc_episode_metadata|Starting migration to 44
17-8-8 14:33:13.5|Info|MigrationLogger|*** 45: add_indexes migrating ***
17-8-8 14:33:13.5|Info|add_indexes|Starting migration to 45
17-8-8 14:33:13.5|Info|MigrationLogger|*** 46: fix_nzb_su_url migrating ***
17-8-8 14:33:13.6|Info|fix_nzb_su_url|Starting migration to 46
17-8-8 14:33:13.6|Info|MigrationLogger|*** 47: add_temporary_blacklist_columns migrating ***
17-8-8 14:33:13.6|Info|add_temporary_blacklist_columns|Starting migration to 47
17-8-8 14:33:13.6|Info|MigrationLogger|*** 48: add_title_to_scenemappings migrating ***
17-8-8 14:33:13.6|Info|add_title_to_scenemappings|Starting migration to 48
17-8-8 14:33:13.6|Info|MigrationLogger|*** 49: fix_dognzb_url migrating ***
17-8-8 14:33:13.6|Info|fix_dognzb_url|Starting migration to 49
17-8-8 14:33:13.6|Info|MigrationLogger|*** 50: add_hash_to_metadata_files migrating ***
17-8-8 14:33:13.6|Info|add_hash_to_metadata_files|Starting migration to 50
17-8-8 14:33:13.7|Info|MigrationLogger|*** 51: download_client_import migrating ***
17-8-8 14:33:13.7|Info|download_client_import|Starting migration to 51
17-8-8 14:33:13.7|Info|MigrationLogger|*** 52: add_columns_for_anime migrating ***
17-8-8 14:33:13.7|Info|add_columns_for_anime|Starting migration to 52
17-8-8 14:33:13.8|Info|MigrationLogger|*** 53: add_series_sorttitle migrating ***
17-8-8 14:33:13.8|Info|add_series_sorttitle|Starting migration to 53
17-8-8 14:33:13.8|Info|MigrationLogger|*** 54: rename_profiles migrating ***
17-8-8 14:33:13.8|Info|rename_profiles|Starting migration to 54
17-8-8 14:33:13.9|Info|MigrationLogger|*** 55: drop_old_profile_columns migrating ***
17-8-8 14:33:13.9|Info|drop_old_profile_columns|Starting migration to 55
17-8-8 14:33:13.9|Info|MigrationLogger|*** 56: add_mediainfo_to_episodefile migrating ***
17-8-8 14:33:13.9|Info|add_mediainfo_to_episodefile|Starting migration to 56
17-8-8 14:33:13.9|Info|MigrationLogger|*** 57: convert_episode_file_path_to_relative migrating ***
17-8-8 14:33:13.9|Info|convert_episode_file_path_to_relative|Starting migration to 57
17-8-8 14:33:14.0|Info|MigrationLogger|*** 58: drop_episode_file_path migrating ***
17-8-8 14:33:14.0|Info|drop_episode_file_path|Starting migration to 58
17-8-8 14:33:14.1|Info|MigrationLogger|*** 59: add_enable_options_to_indexers migrating ***
17-8-8 14:33:14.1|Info|add_enable_options_to_indexers|Starting migration to 59
17-8-8 14:33:14.1|Info|MigrationLogger|*** 60: remove_enable_from_indexers migrating ***
17-8-8 14:33:14.1|Info|remove_enable_from_indexers|Starting migration to 60
17-8-8 14:33:14.2|Info|MigrationLogger|*** 61: clear_bad_scene_names migrating ***
17-8-8 14:33:14.3|Info|clear_bad_scene_names|Starting migration to 61
17-8-8 14:33:14.3|Info|MigrationLogger|*** 62: convert_quality_models migrating ***
17-8-8 14:33:14.3|Info|convert_quality_models|Starting migration to 62
17-8-8 14:33:14.3|Info|MigrationLogger|*** 63: add_remotepathmappings migrating ***
17-8-8 14:33:14.3|Info|add_remotepathmappings|Starting migration to 63
17-8-8 14:33:14.3|Info|MigrationLogger|*** 64: remove_method_from_logs migrating ***
17-8-8 14:33:14.3|Info|remove_method_from_logs|Starting migration to 64
17-8-8 14:33:14.3|Info|MigrationLogger|*** 65: make_scene_numbering_nullable migrating ***
17-8-8 14:33:14.3|Info|make_scene_numbering_nullable|Starting migration to 65
17-8-8 14:33:14.3|Info|MigrationLogger|*** 66: add_tags migrating ***
17-8-8 14:33:14.3|Info|add_tags|Starting migration to 66
17-8-8 14:33:14.4|Info|MigrationLogger|*** 67: add_added_to_series migrating ***
17-8-8 14:33:14.4|Info|add_added_to_series|Starting migration to 67
17-8-8 14:33:14.4|Info|MigrationLogger|*** 68: add_release_restrictions migrating ***
17-8-8 14:33:14.4|Info|add_release_restrictions|Starting migration to 68
17-8-8 14:33:14.4|Info|MigrationLogger|*** 69: quality_proper migrating ***
17-8-8 14:33:14.4|Info|quality_proper|Starting migration to 69
17-8-8 14:33:14.4|Info|MigrationLogger|*** 70: delay_profile migrating ***
17-8-8 14:33:14.4|Info|delay_profile|Starting migration to 70
17-8-8 14:33:14.6|Info|MigrationLogger|*** 71: unknown_quality_in_profile migrating ***
17-8-8 14:33:14.6|Info|unknown_quality_in_profile|Starting migration to 71
17-8-8 14:33:14.7|Info|MigrationLogger|*** 72: history_downloadId migrating ***
17-8-8 14:33:14.7|Info|history_downloadId|Starting migration to 72
17-8-8 14:33:14.7|Info|MigrationLogger|*** 73: clear_ratings migrating ***
17-8-8 14:33:14.7|Info|clear_ratings|Starting migration to 73
17-8-8 14:33:14.7|Info|MigrationLogger|*** 74: disable_eztv migrating ***
17-8-8 14:33:14.7|Info|disable_eztv|Starting migration to 74
17-8-8 14:33:14.8|Info|MigrationLogger|*** 75: force_lib_update migrating ***
17-8-8 14:33:14.8|Info|force_lib_update|Starting migration to 75
17-8-8 14:33:14.8|Info|MigrationLogger|*** 76: add_users_table migrating ***
17-8-8 14:33:14.8|Info|add_users_table|Starting migration to 76
17-8-8 14:33:14.8|Info|MigrationLogger|*** 77: add_add_options_to_series migrating ***
17-8-8 14:33:14.8|Info|add_add_options_to_series|Starting migration to 77
17-8-8 14:33:14.8|Info|MigrationLogger|*** 78: add_commands_table migrating ***
17-8-8 14:33:14.8|Info|add_commands_table|Starting migration to 78
17-8-8 14:33:14.9|Info|MigrationLogger|*** 79: dedupe_tags migrating ***
17-8-8 14:33:14.9|Info|dedupe_tags|Starting migration to 79
17-8-8 14:33:15.5|Info|MigrationLogger|*** 81: move_dot_prefix_to_transmission_category migrating ***
17-8-8 14:33:15.5|Info|move_dot_prefix_to_transmission_category|Starting migration to 81
17-8-8 14:33:15.6|Info|MigrationLogger|*** 82: add_fanzub_settings migrating ***
17-8-8 14:33:15.6|Info|add_fanzub_settings|Starting migration to 82
17-8-8 14:33:15.6|Info|MigrationLogger|*** 83: additonal_blacklist_columns migrating ***
17-8-8 14:33:15.6|Info|additonal_blacklist_columns|Starting migration to 83
17-8-8 14:33:15.6|Info|MigrationLogger|*** 84: update_quality_minmax_size migrating ***
17-8-8 14:33:15.6|Info|update_quality_minmax_size|Starting migration to 84
17-8-8 14:33:15.7|Info|MigrationLogger|*** 85: expand_transmission_urlbase migrating ***
17-8-8 14:33:15.7|Info|expand_transmission_urlbase|Starting migration to 85
17-8-8 14:33:15.7|Info|MigrationLogger|*** 86: pushbullet_device_ids migrating ***
17-8-8 14:33:15.7|Info|pushbullet_device_ids|Starting migration to 86
17-8-8 14:33:15.8|Info|MigrationLogger|*** 87: remove_eztv migrating ***
17-8-8 14:33:15.8|Info|remove_eztv|Starting migration to 87
17-8-8 14:33:15.8|Info|MigrationLogger|*** 88: pushbullet_devices_channels_list migrating ***
17-8-8 14:33:15.8|Info|pushbullet_devices_channels_list|Starting migration to 88
17-8-8 14:33:15.8|Info|MigrationLogger|*** 89: add_on_rename_to_notifcations migrating ***
17-8-8 14:33:15.8|Info|add_on_rename_to_notifcations|Starting migration to 89
17-8-8 14:33:15.9|Info|MigrationLogger|*** 90: update_kickass_url migrating ***
17-8-8 14:33:15.9|Info|update_kickass_url|Starting migration to 90
17-8-8 14:33:15.9|Info|MigrationLogger|*** 91: added_indexerstatus migrating ***
